"Treatment","LINE","SEX","REP","TIME","censor","ID"
"1200","C","3","M","15",1.26,"none","3 - 15 - M - C"
"1201","C","3","M","15",2.29,"none","3 - 15 - M - C"
"1202","C","3","M","16",3.01,"none","3 - 16 - M - C"
"1203","C","3","M","17",2.55,"none","3 - 17 - M - C"
"1204","C","3","M","17",1.29,"none","3 - 17 - M - C"
"1205","C","3","M","17",3.45,"none","3 - 17 - M - C"
"1206","C","3","M","17",1.59,"none","3 - 17 - M - C"
"1207","C","3","M","18",0.61,"none","3 - 18 - M - C"
"1208","C","3","M","18",3.46,"none","3 - 18 - M - C"
"1209","C","3","M","18",1.2,"none","3 - 18 - M - C"
"1210","C","3","M","18",3.08,"none","3 - 18 - M - C"
"1211","C","3","M","18",1.68,"none","3 - 18 - M - C"
"1212","C","3","M","19",3.2,"none","3 - 19 - M - C"
"1213","C","3","M","19",2.18,"none","3 - 19 - M - C"
"1214","C","3","M","19",1.77,"none","3 - 19 - M - C"
"1215","C","3","M","19",2.01,"none","3 - 19 - M - C"
"1216","C","3","M","19",3.16,"none","3 - 19 - M - C"
"1217","C","3","M","20",1.95,"none","3 - 20 - M - C"
"1218","C","3","M","20",2.74,"none","3 - 20 - M - C"
"1219","C","3","M","20",1.68,"none","3 - 20 - M - C"
"1220","C","3","M","20",3.53,"none","3 - 20 - M - C"
"1221","C","3","M","20",1.43,"none","3 - 20 - M - C"
"1222","C","3","M","21",1.35,"none","3 - 21 - M - C"
"1223","C","3","M","21",2.18,"none","3 - 21 - M - C"
"1224","C","3","M","21",1.25,"none","3 - 21 - M - C"
"1225","C","3","M","21",2.78,"none","3 - 21 - M - C"
"1226","C","3","M","21",1.9,"none","3 - 21 - M - C"
"1227","C","3","M","22",2.35,"none","3 - 22 - M - C"
"1228","C","3","M","22",2.94,"none","3 - 22 - M - C"
"1229","C","3","M","22",2.66,"none","3 - 22 - M - C"
"1230","C","3","M","23",1,"none","3 - 23 - M - C"
"1231","C","3","M","23",1.88,"none","3 - 23 - M - C"
"1232","C","3","M","24",2.78,"none","3 - 24 - M - C"
"1233","C","3","M","24",2.44,"none","3 - 24 - M - C"
"1234","C","3","M","25",1.03,"none","3 - 25 - M - C"
"1235","C","3","M","25",1.98,"none","3 - 25 - M - C"
"1236","C","3","M","25",3,"none","3 - 25 - M - C"
